deal.deal,deal.name,deal.country,deal.relevance,deal.BidFactor,deal.eCPM,deal.eFlightSpend,deal.cumulativeSpend,deal.eCPA,deal.CumulativeEcpa,deal.eCTR,deal.eCPC,deal.eViewability
cglanye,"Business Insider - US - Desktop - ROS - 300x250, 728x90",United States,76.56,5.34,9.19,889.91,1031.16,754.85,709.64,0.00047,20.09,0.6898
j4kzqav,"Zillow Group - US - RON - Zillow, Trulia, Hotpads, StreetEasy - 728x90, 300x250",United States,44.99,4.81,4.76,109.39,2666.17,664.94,900.4,0,0,0.0122
4wlmz5u,"CNN Money - US - ROS - ATF - 300x250, 728x90 - Brand Approval Required (Please Contact AM to activate)",United States,20.96,4.04,9.88,243.8,5536.16,2964.27,1355.16,0.00039,25.34,0.6543
8gjgfia,"Vox Media - Global - RON - Desktop - 300x250, 728x90",United States,17.4,3.86,8.34,661.58,7567.22,3015.64,1614.01,0.00023,35.33,0.2515
es4zscp,"Kiplinger - Desktop - ROS - ATF - 728x90, 300x600, 300x250",United States,16.03,3.77,6.14,132.16,7785.87,2410.43,1604.35,0.00017,35.55,0.3909
5v10i4o,Google Finance - US & Canada - Google.com/Finance - 300x250,United States,15.84,3.76,7,152.47,7938.34,2780.42,1617.49,0.0003,21.74,0.5845
2j05nfr,Business Insider - US - Desktop - ROS - 300x600,United States,9.04,3.2,12.59,1441.28,14618.05,8760.89,2328.28,0.00027,46.22,0.5475
228yh8h,LinkedIn - US & Canada - Run of Professionals - 300x250 - Brand Approval Required (please reach out to account manager to activate),United States,7.8,3.05,9.54,10335.74,24953.79,7691.05,3273.77,0.00032,29.56,0.7352
rn6d3j3,"Glassdoor.com - Careers - Desktop - 728x90, 300x250, 160x600",United States,7.55,3.02,5.85,4947.49,29901.28,4875.79,3461.98,0.00015,38.95,0.2483
6iierzb,"Expedia Inc. - APAC - RON - Non-Endemic Advertisers - 300x250, 728x90 & 160x600",Singapore,6.72,2.91,3.58,275.41,33167.15,3347.94,3568.31,0,0,0.0688
a781lk3,Microsoft - Outlook.com - Desktop - 160x600,United States,5.75,2.75,7.76,4657.12,38842,8491.34,3902.54,0.00081,9.6,0.8275
c9vh90u,"Skype - US - Standard Look - 300x250, 728x90",United States,4.9,2.59,2.92,410.9,46364.44,3744.07,4248.61,0.00058,5.29,0.5882
ki0g3jk,"Conde Nast - US - RON - Desktop & Mobile - 300x50, 300x250, 320x50, 728x90",United States,4.57,2.52,10.81,1223.08,47587.51,14875.39,4328.08,0.00068,15.86,0.6699
i4g3isdz,"Time Inc - RON - 160x600, 300x250, 728x90",United States,4.48,2.5,7.57,2329.26,52008.49,10628.63,4570.74,0.00089,8.48,0.6047
tr1nk8w,"Forbes - 2015 - ROS - 300x250, 728x90",United States,3.94,2.37,11.78,2575.37,56580.06,18805.63,4844.21,0.00032,37.71,0.6196
j1lkfca5,"CBS Interactive - RON - 160x600, 300x250, 728x90",United States,2.55,1.94,7.71,2610.88,76409.06,19018.96,5954.56,0.00043,17.81,0.3345
2dsr24q,"The Huffington Post - RON - 160x600, 300x250",United States,2.1,1.74,10.13,2500.43,82343.84,30346.24,6205.05,0.00047,22.05,0.5714
11khg7k,OpenX Multi-Pub Bidder (Desktop & Mobile)_$ 3.25,United States,1.92,1.65,1.95,4016.07,90061.25,6381.21,6416.11,0.00052,3.71,0.287
8zxow7l,SheKnows - General Women's Targeting,United States,1.5,1.41,7.23,1667.78,111965.05,30323.28,7633.95,0.00024,29.94,0.4612
cxu0vfz,"MSN.com & Outlook.com - Highly Viewable - 160x600, 180x150, 300x250, 728x90",United States,1.48,1.39,6.67,28831.59,140796.64,28359.43,8977.44,0.00087,7.78,0.8025
z3tfgvd,"OpenX - Global - Multi-Publisher - Standard Display - Finance, Real Estate & Business Content",United States,1.41,1.34,4.86,2976.66,155321.28,21667.99,9616.98,0.00036,13.34,0.3539
mcze7ww,"CBS Interactive - US - RON - Tech / Games / Media / B2B - 160x600, 300x250, 728x90",United States,1.38,1.32,11.16,5590.79,163756.82,50892.29,10003.12,0.00326,3.45,0.3427
2ovd19l3,"New York Times - ROS - 300x250, 728x90",United States,1.34,1.29,8.72,10112.23,173869.05,40944.21,10462.97,0.00064,13.61,0.6569
gw9pgjyu,"Washington Post - Global - News Section - Desktop - 160x600, 300x250, 300x600, 728x90",United States,1.31,1.27,8.02,2109.97,177147.41,38494.28,10590.46,0.00055,14.96,0.72
a88dbgr7,"The Weather Channel - ROS - BTF - 160x600, 300x250, 728x90",United States,1.19,1.17,5.3,1531.23,204051.04,28013.64,11681.5,0.00021,24.25,0.0815
nish6398,"CNN - US - ROS - ATF - 300x250, 728x90 - Brand Approval Required (Please Contact AM to activate)",United States,1.09,1.09,6.33,8005.01,224435.53,36502.4,12162.18,0.00024,25.95,0.6493
9m1qkge,"MSN - US - Home Page - Standard Look - 300x250, 728x90",United States,0.97,0.97,4.64,8229.72,263251.36,30081.48,13637.05,0.00176,2.61,0.863
c5r2bwl,"Expedia Inc. - Global - RON - Travel Advertisers - 300x250, 728x90 & 160x600",United States,0.94,0.94,6.62,2435.29,269817.02,44283.64,13859.07,0.00072,9.33,0.1893
q0l0tzq,"AOL - US - O&O - RON - First Look - 160x600, 300x250, 728x90",United States,0.76,0.73,13.99,9484.15,353699.24,115791.27,16884.87,0.00182,8,0.7947
mai52mi,"Fox News - 2015 - RON Tier 1 - 300x250, 728x90",United States,0.71,0.66,7.42,5376.4,362892.06,65721.25,17211.65,0.001,7.45,0.7349
f4netys,"Comcast - XFINITY - ROS - 160x600, 300x250, 728x90",United States,0.68,0.61,3.38,5163.24,368055.3,31227.88,17320.71,0.00446,0.88,0.6318
szg4sgt,Realtor.com - ATF - 300x250,United States,0.45,0.2,8.92,6872.39,600513.12,124621.9,25054.46,0.00018,48.81,0.496
il38bxu,"MSN.com - News - 160x600, 180x150, 300x250, 728x90",United States,0.32,0,4.44,7283.8,691375.35,87307.62,27856.95,0.00085,5.38,0.7565
4olhthd,"eBay - US - Standard Look - ROS - BTF - 160x600, 728x90, 300x250",United States,0.26,0,6.68,8986.62,779643.1,161688.25,30373.02,0.0001,65.79,0.2242
3xpn0d5,"AOL - US - O&O - RON - Standard Look - 160x600, 300x250, 728x90",United States,0.16,0,3.43,43797.48,838789.21,134808.37,32102.63,0.00328,1.04,0.7598
2ea236n9,"Yahoo - US - O&O - Desktop - 728x90, 160x600, 300x250, 300x600",United States,0.02,0,4.5,63246.23,972401.53,1416589.39,36721.75,0.00051,9.52,0.6769
